"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","status","sub_membership","modularity"
"sub_1002_ses_1_gordon",755.762,221,213,0,0.09,0.0313,0.9151,0.9504,18402.4502,17614.2557,-8594.1279,"converged normally",1,"0"
"sub_1003_ses_1_gordon",692.4733,218,216,0,0.0853,0.0299,0.9141,0.9505,19460.3685,18661.0727,-9114.5363,"converged normally",2,""
"sub_1004_ses_1_gordon",692.1108,225,209,0,0.0833,0.0388,0.9183,0.9514,17030.4653,16257.0726,-7919.5363,"converged normally",3,""
"sub_1005_ses_1_gordon",806.5172,218,216,0,0.095,0.0365,0.916,0.9515,18879.9026,18080.6068,-8824.3034,"converged normally",4,""
"sub_1007_ses_1_gordon",735.1821,223,211,0,0.0876,0.0294,0.9168,0.9509,18498.8156,17718.022,-8648.011,"converged normally",5,""
"sub_1009_ses_1_gordon",645.5161,215,219,0,0.0818,0.0369,0.9153,0.9518,15585.3309,14774.9337,-7168.4669,"converged normally",6,""
"sub_2001_ses_1_gordon",649.6178,219,215,0,0.0811,0.0309,0.9153,0.9509,14140.5079,13344.9125,-6457.4563,"converged normally",7,""
"sub_2002_ses_1_gordon",690.1647,223,211,0,0.0837,0.037,0.9164,0.9507,17279.9335,16499.1399,-8038.57,"converged normally",8,""
"sub_2003_ses_1_gordon",689.7622,214,220,0,0.0862,0.0404,0.9119,0.9501,20579.926,19765.8284,-9662.9142,"converged normally",9,""
"sub_2005_ses_1_gordon",787.5241,220,214,0,0.0929,0.0343,0.9156,0.9509,16348.0033,15556.1084,-7564.0542,"converged normally",10,""
"sub_2006_ses_1_gordon",707.041,229,205,0,0.0836,0.0358,0.9189,0.9508,21344.2006,20585.6097,-10087.8048,"converged normally",11,""
"sub_2007_ses_1_gordon",651.7634,221,213,0,0.0807,0.0337,0.9155,0.9506,19825.0557,19036.8612,-9305.4306,"converged normally",12,""
